Stage,Intent,Content,Translation,IsFollowUp,ParentIntent,
0,greeting,"Hi, how are you?",你好嗎,0,,
0,greeting,"Hi, how are you doing?",你好嗎,0,,
0,greeting,"Hi, how do you feel today?",你好嗎，今天感覺怎麼樣？,0,,
0,greeting,"Hi, good morning, how do you do?",早上好，你好嗎,0,,
1,traffic,How did you get here today?,你今天是怎麼過來這裡的？,0,,
1,traffic,How did you come here today?,你今天是怎麼過來這裡的？,0,,
1,traffic_F,How long did it take you to be here?,你來這裡花了多長時間？,1,traffic,
1,traffic_F,How’s the traffic?,交通怎麼樣？,1,traffic,
2,Breakfast,Did you eat anything this morning?,今天早上吃什麼東西了嗎？,0,,
2,Breakfast,What do you have for breakfast？,你早餐吃了什麼？,0,,
2,Breakfast,Did you eat breakfast？,你吃早餐了嗎？,0,,
3,Lasttime,Is this your first interview?,這是你第一次面試嗎？,0,,
3,Lasttime,"So this is your second interview, right?",這是你第二次面試對嗎？,0,,
3,Lasttime_F,Why did you fail last time?,上一次面試為什麼失敗了？,1,Lasttime,
4,Study,Did you study English for the interview?,你有沒有為了面試學習英語？,0,,
4,Study,Did you study for the citizenship interview?,你有沒有為了面試學習英語？,0,,
4,Study,Did you study for the naturalization interview?,你有沒有為了面試學習英語？,0,,
4,Study_F,How did you study for the interview?,你為了這次面試是怎麼學習的？,1,Study,
5,Chat,Do you have any physical or mental condition that prevents you from learning English or civics?,你有任何生理或心理狀況阻礙你學習英語或公民知識嗎？,0,,
5,Chat,What time is your appointment?,你預約的時間是幾點？,0,,
5,Chat,Who is with you here today?,今天誰跟你一起來的？,0,,
5,Chat,Are you nervous?,你緊張嗎？,0,,
5,Chat,Do you promise that everything you say is true?,你保證你所說的一切都是真實的嗎？,0,,
5,Chat,have you filed your tax return last year?,你去年報稅了嗎？,0,,
5,Chat,do you believed in religion freedom?,你相信宗教自由嗎？,0,,
6,takeoath,"Before we start, I need to swear you in",再開始之前，我要先幫你宣誓。,0,,
6,takeoath,"Please raise your right hand." ,請舉起你的右手。,0,,
6,takeoath,"Do you swear to tell the truth, the whole truth and nothing but the truth?",你發誓你的說的都是真的嗎？,0,,
6,takeoath_F,"What did you just swear?", 你剛才發誓了什麼？,1,takeoath,
6,takeoath_F,"What did you just promise?", 你剛才發誓了什麼？,1,takeoath,
7,PURPOSE,Why are you here today?,為什麼你今天在這裡？,0,,
7,PURPOSE,What's the reason of you being here today?,你今天在這裡的原因是什麼？,0,,
7,PURPOSE,Why are you come here today?,你今天為什麼來這裡？,0,,
7,PURPOSE,What's the purpose of you being here today?,你今天在這裡的目的是什麼？,0,,
7,PURPOSE_F,Do you know what's this place? Where are you now?,你知道這裡是什麼地方嗎？你現在在哪裡？,1,PURPOSE,
8,eligibility,What's your basis for eligibility?,你的資格依據是什麼？,0,,
8,eligibility,What's the reason of filing the N-400 form?,提交 N-400 表格的原因是什麼？,0,,
8,eligibility,Are you filing the form under the general provision?,你是根據一般條款提交表格的嗎？,0,,
8,eligibility,What's the basis of filing this form?,提交此表格的依據是什麼？,0,,
